as_of,ticker,name,sector,industry,currency,quote_type,price,market_cap,shares_outstanding,pe_trailing,pe_forward,pbv,eps_ttm,book_value_per_share,roe,roa,profit_margin,operating_margin,earnings_growth,revenue_growth,debt_to_equity,current_ratio,free_cashflow,total_cash,total_debt,dividend_yield,payout_ratio,five_year_avg_dividend_yield,provider,provider_version,schema_version
2026-09-22,ELTY,PT Bakrieland Development Tbk,Real Estate,Real Estate Services,IDR,EQUITY,32.0,1392701210624,1400000000,,,0.2514,-0.46,127.28,-0.00755,0.00778,-0.01893,0.06134,,-0.013,18.678,0.827,79264997376,144457007104,1115950940160,,0.0,,yfinance,0.2.65,1
2026-09-22,EMAS,PT Merdeka Gold Resources Tbk,Basic Materials,Gold,IDR,EQUITY,7625.0,112326665568256,14731366060,,382014.03,305000.0,-31.37,0.03,-0.08508,-0.00261,-0.8516,0.35894,,335.723,125.871,0.405,-189338192,62141584,455106720,,0.0,,yfinance,0.2.65,1
2026-09-22,EMTK,PT Elang Mahkota Teknologi Tbk,Communication Services,Broadcasting,IDR,EQUITY,450.0,27532126584832,61182504933,12.2449,68.4931,0.7517,36.75,598.64,0.07585,0.01411,0.10618,0.07324,-0.974,0.026,6.298,4.837,806837026816,25877746286592,3273417031680,2.16,0.2723,1.37,yfinance,0.2.65,1
2026-09-22,ENRG,PT Energi Mega Persada Tbk,Energy,Oil & Gas E&P,IDR,EQUITY,1230.0,43302917242880,35205624404,20.9255,12.0825,34166.668,58.78,0.04,0.1279,0.06595,0.18629,0.38874,0.424,0.2,56.576,0.598,-30485878,114738728,502137408,,0.0,,yfinance,0.2.65,1
2026-09-22,EPMT,PT Enseval Putera Megatrading Tbk.,Healthcare,Medical Distribution,IDR,EQUITY,2630.0,7123723354112,2708640000,8.5984,,0.8627,305.87,3048.42,0.10543,0.0531,0.0236,0.0268,0.483,0.189,2.191,2.118,113866948608,442588594176,181882470400,7.89,0.0,7.54,yfinance,0.2.65,1
2026-09-22,ERAA,PT Erajaya Swasembada Tbk,Consumer Cyclical,Specialty Retail,IDR,EQUITY,615.0,9568516046848,15558563078,6.8524,9.987,1.0148,89.75,606.05,0.15506,0.05447,0.01672,0.028,-0.079,0.069,72.92,1.264,4809970155520,1312396673024,7980815745024,4.0,0.0,4.19,yfinance,0.2.65,1
2026-09-22,ERAL,PT Sinar Eka Selaras Tbk,Consumer Cyclical,Specialty Retail,IDR,EQUITY,310.0,1608124989440,5187500000,9.4111,,0.8881,32.94,349.06,0.11205,0.06683,0.02608,0.04782,0.689,0.594,17.201,1.948,13195884544,297737486336,314745257984,2.52,0.2429,,yfinance,0.2.65,1
2026-09-22,ESSA,PT ESSA Industries Indonesia Tbk.,Basic Materials,Chemicals,IDR,EQUITY,600.0,10336184827904,17226975700,11.4155,12.2374,24000.0,52.56,0.03,0.14062,0.08891,0.16173,0.17418,0.702,0.343,0.019,3.158,157512048,200175536,106112,8.67,0.2023,,yfinance,0.2.65,1
2026-09-22,EXCL,PT XLSMART Telecom Sejahtera Tbk,Communication Services,Telecom Services,IDR,EQUITY,2430.0,44225668317184,18199862451,,14.4738,1.5316,-249.02,1586.6,-0.13436,-0.00686,-0.08865,0.03172,,0.16,204.323,0.318,14058289889280,2016213991424,59348571127808,6.57,0.3827,2.65,yfinance,0.2.65,1
2026-09-22,FAPA,PT FAP Agri Tbk,Consumer Defensive,Farm Products,IDR,EQUITY,7425.0,25876047593472,3484989800,20.45,,6.2299,363.08,1191.83,0.36388,0.13109,0.15445,0.31493,1.092,0.296,113.773,0.841,-335832317952,963658973184,4963962454016,0.94,0.1929,,yfinance,0.2.65,1
